genome_id	genome_name	antibiotic	resistant_phenotype	evidence	laboratory_typing_method	testing_standard
573.13132	Klebsiella pneumoniae KPN1131ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14426	Klebsiella pneumoniae KPN828ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.62715	Klebsiella pneumoniae MGL_121	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.13951	Klebsiella pneumoniae KPN2159ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1728	Klebsiella pneumoniae strain KpVA-10	imipenem	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.24435	Klebsiella pneumoniae strain MUGSI_76	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13167	Klebsiella pneumoniae KPN1172ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1428	Klebsiella pneumoniae KPN613ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13273	Klebsiella pneumoniae KPN1309ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14079	Klebsiella pneumoniae KPN354ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1868	Klebsiella pneumoniae strain AR_362	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13062	Klebsiella pneumoniae KPN1040ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29942	Klebsiella pneumoniae strain Kpngiani7132479	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29873	Klebsiella pneumoniae strain Kpngiani7132563	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.30001	Klebsiella pneumoniae strain Kpngiani7132539	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.67401	Klebsiella pneumoniae MGL_121	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
1284819.3	Klebsiella pneumoniae UHKPC45	imipenem	Resistant	Laboratory Method		
573.1732	Klebsiella pneumoniae strain KpVA-14	imipenem	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.13186	Klebsiella pneumoniae KPN1194ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24356	Klebsiella pneumoniae strain MUGSI_146	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.2999	Klebsiella pneumoniae strain Kpngiani7132517	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29972	Klebsiella pneumoniae strain Kpngiani7132508	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.17914	Klebsiella pneumoniae strain AR_0363	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29967	Klebsiella pneumoniae strain Kpngiani7132526	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
1284821.3	Klebsiella pneumoniae UHKPC29	imipenem	Resistant	Laboratory Method		
573.13363	Klebsiella pneumoniae KPN1422ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24455	Klebsiella pneumoniae strain MUGSI_98	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284816.3	Klebsiella pneumoniae UHKPC26	imipenem	Resistant	Laboratory Method		
573.62733	Klebsiella pneumoniae MGL_135	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.2435	Klebsiella pneumoniae strain MUGSI_136	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24373	Klebsiella pneumoniae strain MUGSI_190	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13427	Klebsiella pneumoniae KPN1489ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284794.4	Klebsiella pneumoniae UHKPC77	imipenem	Resistant	Laboratory Method		
1304916.4	Klebsiella pneumoniae 140_1040	imipenem	Resistant	Laboratory Method		
573.29974	Klebsiella pneumoniae strain Kpngiani7132513	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.67378	Klebsiella pneumoniae MGL_88	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.24433	Klebsiella pneumoniae strain MUGSI_74	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13981	Klebsiella pneumoniae KPN236ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.23202	Klebsiella pneumoniae strain KP_089	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13433	Klebsiella pneumoniae KPN1496ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29913	Klebsiella pneumoniae strain Kpngiani7132611	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.14321	Klebsiella pneumoniae KPN691ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24319	Klebsiella pneumoniae strain FH-2	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14447	Klebsiella pneumoniae KPN860ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438774.3	Klebsiella pneumoniae CHS 70	imipenem	Resistant	Laboratory Method	Broth dilution	
1284808.4	Klebsiella pneumoniae UHKPC06	imipenem	Resistant	Laboratory Method		
573.13039	Klebsiella pneumoniae KPN1012ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29915	Klebsiella pneumoniae strain Kpngiani7132593	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13808	Klebsiella pneumoniae KPN196ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.7362	Klebsiella pneumoniae strain AR_0049	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24408	Klebsiella pneumoniae strain MUGSI_39	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284807.4	Klebsiella pneumoniae UHKPC31	imipenem	Resistant	Laboratory Method		
573.24389	Klebsiella pneumoniae strain MUGSI_30	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14197	Klebsiella pneumoniae KPN508ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24261	Klebsiella pneumoniae strain 20	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.15438	Klebsiella pneumoniae strain 10315_6#19	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.14251	Klebsiella pneumoniae KPN577ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438769.3	Klebsiella pneumoniae CHS 63	imipenem	Resistant	Laboratory Method	Broth dilution	
573.14229	Klebsiella pneumoniae KPN550ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1725	Klebsiella pneumoniae strain KpVA-7	imipenem	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.13257	Klebsiella pneumoniae KPN1278ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29861	Klebsiella pneumoniae strain Kpngiani7132558	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
1284798.4	Klebsiella pneumoniae DMC1097	imipenem	Resistant	Laboratory Method		
573.67377	Klebsiella pneumoniae MGL_89	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.13854	Klebsiella pneumoniae KPN2026ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13905	Klebsiella pneumoniae KPN2082ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438775.3	Klebsiella pneumoniae CHS 71	imipenem	Resistant	Laboratory Method	Broth dilution	
573.6742	Klebsiella pneumoniae MGL_135	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
1284793.4	Klebsiella pneumoniae UHKPC69	imipenem	Resistant	Laboratory Method		
573.14485	Klebsiella pneumoniae KPN909ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13816	Klebsiella pneumoniae KPN1983ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13686	Klebsiella pneumoniae KPN1818ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14317	Klebsiella pneumoniae KPN686ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13389	Klebsiella pneumoniae KPN1448ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24271	Klebsiella pneumoniae strain 26	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438735.3	Klebsiella pneumoniae CHS 29	imipenem	Resistant	Laboratory Method	Broth dilution	
573.29866	Klebsiella pneumoniae strain Kpngiani7132568	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.1454	Klebsiella pneumoniae KPN982ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1446	Klebsiella pneumoniae KPN878ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13278	Klebsiella pneumoniae KPN1315ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13626	Klebsiella pneumoniae KPN1723ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14417	Klebsiella pneumoniae KPN817ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13172	Klebsiella pneumoniae KPN1179ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284812.3	Klebsiella pneumoniae UHKPC81	imipenem	Resistant	Laboratory Method		
573.1319	Klebsiella pneumoniae KPN1198ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284789.4	Klebsiella pneumoniae UHKPC28	imipenem	Resistant	Laboratory Method		
573.13865	Klebsiella pneumoniae KPN2039ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13193	Klebsiella pneumoniae KPN1202ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14238	Klebsiella pneumoniae KPN561ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13587	Klebsiella pneumoniae KPN1684ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.12771	Klebsiella pneumoniae strain AR_0126	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13289	Klebsiella pneumoniae KPN1329ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438767.3	Klebsiella pneumoniae CHS 61	imipenem	Resistant	Laboratory Method	Broth dilution	
573.14437	Klebsiella pneumoniae KPN843ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14246	Klebsiella pneumoniae KPN572ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13096	Klebsiella pneumoniae KPN1090ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.2444	Klebsiella pneumoniae strain MUGSI_80	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.30016	Klebsiella pneumoniae strain Kpngiani7132537	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29932	Klebsiella pneumoniae strain Kpngiani7132620	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13513	Klebsiella pneumoniae KPN1588ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13156	Klebsiella pneumoniae KPN1160ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1424	Klebsiella pneumoniae KPN564ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.62732	Klebsiella pneumoniae MGL_152	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.14394	Klebsiella pneumoniae KPN782ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29975	Klebsiella pneumoniae strain Kpngiani7132528	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13909	Klebsiella pneumoniae KPN2086ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.232	Klebsiella pneumoniae strain KP_116	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13214	Klebsiella pneumoniae KPN1226ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1322	Klebsiella pneumoniae KPN123ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14167	Klebsiella pneumoniae KPN451ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438709.3	Klebsiella pneumoniae CHS 03	imipenem	Resistant	Laboratory Method	Broth dilution	
573.67379	Klebsiella pneumoniae MGL_84	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.14141	Klebsiella pneumoniae KPN421ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13516	Klebsiella pneumoniae KPN1592ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13048	Klebsiella pneumoniae KPN1022ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24324	Klebsiella pneumoniae strain MRSN20094	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.6741	Klebsiella pneumoniae MGL_169	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.1436	Klebsiella pneumoniae KPN737ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438719.3	Klebsiella pneumoniae CHS 13	imipenem	Resistant	Laboratory Method	Broth dilution	
573.24316	Klebsiella pneumoniae strain 9	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29994	Klebsiella pneumoniae strain Kpngiani7132551	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.12905	Klebsiella pneumoniae 3263	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29998	Klebsiella pneumoniae strain Kpngiani7132552	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
1438743.3	Klebsiella pneumoniae CHS 37	imipenem	Resistant	Laboratory Method	Broth dilution	
573.14294	Klebsiella pneumoniae KPN632ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438778.3	Klebsiella pneumoniae CHS 74	imipenem	Resistant	Laboratory Method	Broth dilution	
573.14264	Klebsiella pneumoniae KPN592ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14507	Klebsiella pneumoniae KPN939ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
72407.2896	Klebsiella pneumoniae subsp. pneumoniae MRSN752729	imipenem	Resistant	Laboratory Method		
573.14406	Klebsiella pneumoniae KPN799ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.7025	Klebsiella pneumoniae strain AR_0010	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14364	Klebsiella pneumoniae KPN742ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24452	Klebsiella pneumoniae strain MUGSI_95	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.62723	Klebsiella pneumoniae MGL_170	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.14545	Klebsiella pneumoniae KPN989ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.12777	Klebsiella pneumoniae strain AR_0120	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29961	Klebsiella pneumoniae strain Kpngiani7132504	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.67374	Klebsiella pneumoniae MGL_103	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.14009	Klebsiella pneumoniae KPN271ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.5767	Klebsiella pneumoniae strain 7_GR_13	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29916	Klebsiella pneumoniae strain Kpngiani7132616	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.67418	Klebsiella pneumoniae 20200203_MGL_14	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.24265	Klebsiella pneumoniae strain 22	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14148	Klebsiella pneumoniae KPN428ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.3001	Klebsiella pneumoniae strain Kpngiani7132534	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29963	Klebsiella pneumoniae strain Kpngiani7132619	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29986	Klebsiella pneumoniae strain Kpngiani7132511	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.24422	Klebsiella pneumoniae strain MUGSI_58	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29906	Klebsiella pneumoniae strain Kpngiani7132609	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13881	Klebsiella pneumoniae KPN2056ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13879	Klebsiella pneumoniae KPN2054ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.5646	Klebsiella pneumoniae strain 4_GR_12	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14393	Klebsiella pneumoniae KPN781ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284815.3	Klebsiella pneumoniae UHKPC24	imipenem	Resistant	Laboratory Method		
573.24378	Klebsiella pneumoniae strain MUGSI_21	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1731	Klebsiella pneumoniae strain KpVA-13	imipenem	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.17927	Klebsiella pneumoniae strain AR_0080	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24333	Klebsiella pneumoniae strain MUGSI_115	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14516	Klebsiella pneumoniae KPN948ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1368	Klebsiella pneumoniae KPN1788ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29885	Klebsiella pneumoniae strain Kpngiani7132588	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29886	Klebsiella pneumoniae strain Kpngiani7132579	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13952	Klebsiella pneumoniae KPN2160ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14502	Klebsiella pneumoniae KPN930ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24441	Klebsiella pneumoniae strain MUGSI_82	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24437	Klebsiella pneumoniae strain MUGSI_78	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13561	Klebsiella pneumoniae KPN1652ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14469	Klebsiella pneumoniae KPN890ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13911	Klebsiella pneumoniae KPN2088ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13139	Klebsiella pneumoniae KPN1139ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14509	Klebsiella pneumoniae KPN941ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14354	Klebsiella pneumoniae KPN728ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13563	Klebsiella pneumoniae KPN1654ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14204	Klebsiella pneumoniae KPN515ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29919	Klebsiella pneumoniae strain Kpngiani7132627	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.12778	Klebsiella pneumoniae strain AR_0125	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24454	Klebsiella pneumoniae strain MUGSI_97	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13755	Klebsiella pneumoniae KPN1894ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13941	Klebsiella pneumoniae KPN2130ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.23205	Klebsiella pneumoniae strain KP_301	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.62719	Klebsiella pneumoniae 20200203_MGL_18	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.13722	Klebsiella pneumoniae KPN185ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1284813.3	Klebsiella pneumoniae UHKPC27	imipenem	Resistant	Laboratory Method		
573.30006	Klebsiella pneumoniae strain Kpngiani7132540	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29868	Klebsiella pneumoniae strain Kpngiani7132567	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13113	Klebsiella pneumoniae KPN1109ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24424	Klebsiella pneumoniae strain MUGSI_61	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14084	Klebsiella pneumoniae KPN360ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29983	Klebsiella pneumoniae strain Kpngiani7132527	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13721	Klebsiella pneumoniae KPN1859ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1338	Klebsiella pneumoniae KPN1439ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14313	Klebsiella pneumoniae KPN682ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29878	Klebsiella pneumoniae strain Kpngiani7132576	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.15485	Klebsiella pneumoniae strain 10315_6#76	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13138	Klebsiella pneumoniae KPN1137ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.23201	Klebsiella pneumoniae strain KP_109	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.30013	Klebsiella pneumoniae strain Kpngiani7132548	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13367	Klebsiella pneumoniae KPN1426ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13938	Klebsiella pneumoniae KPN2127ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.2992	Klebsiella pneumoniae strain Kpngiani7132634	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.24432	Klebsiella pneumoniae strain MUGSI_7	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14005	Klebsiella pneumoniae KPN267ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29867	Klebsiella pneumoniae strain Kpngiani7132557	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13483	Klebsiella pneumoniae KPN1555ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29993	Klebsiella pneumoniae strain Kpngiani7132554	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.12966	Klebsiella pneumoniae 3357	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438717.3	Klebsiella pneumoniae CHS 11	imipenem	Resistant	Laboratory Method	Broth dilution	
573.13965	Klebsiella pneumoniae KPN218ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438756.3	Klebsiella pneumoniae CHS 50	imipenem	Resistant	Laboratory Method	Broth dilution	
573.67388	Klebsiella pneumoniae 20200622_MGL_68	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
1438738.3	Klebsiella pneumoniae CHS 32	imipenem	Resistant	Laboratory Method	Broth dilution	
573.1429	Klebsiella pneumoniae KPN623ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.14433	Klebsiella pneumoniae KPN838ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.62734	Klebsiella pneumoniae MGL_134	imipenem	Resistant	Laboratory Method	Disk diffusion	
573.14096	Klebsiella pneumoniae KPN373ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
72407.289	Klebsiella pneumoniae subsp. pneumoniae MRSN752309	imipenem	Resistant	Laboratory Method		
573.20062	Klebsiella pneumoniae strain AR_0075	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13123	Klebsiella pneumoniae KPN1121ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13356	Klebsiella pneumoniae KPN1413ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438713.3	Klebsiella pneumoniae CHS 07	imipenem	Resistant	Laboratory Method	Broth dilution	
573.15043	Klebsiella pneumoniae strain AR_0146	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13065	Klebsiella pneumoniae KPN1043ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29965	Klebsiella pneumoniae strain Kpngiani7132523	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.24331	Klebsiella pneumoniae strain MUGSI_113	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24325	Klebsiella pneumoniae strain MRSN20097	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.15042	Klebsiella pneumoniae strain AR_0158	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29941	Klebsiella pneumoniae strain Kpngiani7132493	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13053	Klebsiella pneumoniae KPN1030ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1278	Klebsiella pneumoniae strain AR_0145	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1452	Klebsiella pneumoniae KPN953ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.67392	Klebsiella pneumoniae MGL_K_14	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
